,pixel_L2,pixel_cosine,low_cosine,mid_cosine,high_cosine,clip_cosine,dino_cosine,rcnn_confidence,yolo_confidence
bottle,0.37332478192510365,0.4346655393254594,0.4093192422613394,0.40574990095773755,0.38227588010532326,0.4064829257219945,0.42952179563321546,0.05063448631345351,0.008143977480491194
bowl,0.44631389563334506,0.5175062442574017,0.4629971434129528,0.45360861733393637,0.4357279419246716,0.5035010802027836,0.5032090782839981,0.1177090862434697,0.009760311819664346
car,0.36980260705421614,0.45975208494437286,0.43488311130575863,0.396479078438813,0.3916574534174851,0.44256059282244525,0.4592928848499129,0.11174991018234054,0.016596749418676914
chair,0.3969375704182828,0.4929296090102853,0.46351225996105894,0.4647119275622482,0.4359378023293636,0.5035845148734964,0.49232977538973366,0.20875497306093074,0.011818443921341893
clock,0.4742774575566919,0.5037093194651747,0.49353831040511803,0.46284055495724247,0.46645721924514816,0.5158596689239677,0.5232953691079902,0.10320071940027761,0.029753285173724893
cup,0.4232609856351627,0.5025251955501814,0.4712854394714483,0.4699356825331882,0.44474464181180107,0.49344227106922045,0.5012625330702077,0.18217032084191165,0.03354999291854838
fork,0.34548035294966084,0.42535578065411106,0.3876198997907517,0.3825102031209371,0.3624911761049481,0.3952502692679619,0.3983125685613593,0.0509388109508826,0.0008695652173913044
keyboard,0.469385540815149,0.5240159408682246,0.5201977870259779,0.49730794147132606,0.48599034681815445,0.5169374383862299,0.5249124198890146,0.01729005038144877,0.0016304347826086956
knife,0.3128031986341595,0.3678205391928811,0.3500688347068616,0.3422871242516366,0.32373471726887676,0.352425304377154,0.3707376644751224,0.06158801115494173,0.0018171511569788747
laptop,0.42553727328374047,0.5167838926331361,0.48609265436555227,0.47083985857767435,0.4552252692964568,0.502173103024829,0.49687847677405667,0.12033489925521133,0.012291765306063667
microwave,0.4281512188674403,0.5116847375455724,0.4722933400667806,0.46612281106263326,0.48298453721124474,0.48975753077370704,0.5280077906619325,0.10038346901968231,0.01754722504768676
mouse,0.3894129354142197,0.4503484975264259,0.4348447685868238,0.42071628188704213,0.41026280473288945,0.4364758565555828,0.4444338956317388,0.029058472532708372,0.0009174311926605505
oven,0.43289596559392257,0.5016315214659665,0.47234721805802465,0.47410282051276864,0.47972747405905997,0.5110667554752308,0.5138925403685966,0.2930244781025732,0.07943919768996555
potted plant,0.3817900688943518,0.4646013579895479,0.42331039043085616,0.42433267140561043,0.39301797594006005,0.4485516033783984,0.45129765721839066,0.1594330697823728,0.022044678055282697
sink,0.4497947296953433,0.5377781419314019,0.4984264209420824,0.48352054843386183,0.48566760505031675,0.5351559824367805,0.5252264686160126,0.1019669361537804,0.012805771142420909
stop sign,0.4633998761987917,0.5037418681338273,0.4648772935160017,0.46131470116604695,0.4320063377391976,0.5252002645898538,0.4783926399598038,0.051876289108504295,0.006296227625205887
toilet,0.4319335858408923,0.5373036506621786,0.4751063990829084,0.4769114768236775,0.4728907809281014,0.5079536807472496,0.505273073428402,0.25216407709327604,0.07704278173501894
tv,0.40525286022929813,0.49353137935846636,0.46213574480433867,0.48165424820118674,0.4649365429105971,0.5096081322130243,0.49828732206761633,0.2331724750029224,0.07520430117364998
